名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
三瓶,三瓶 友敬,,1976/11/23,,福島県本宮市,B型,168cm,共通語,服部栄養専門学校,,NSC東京校5期,1996/1/1,2009/1/1,,,334,34
三福エンターテイメント,三福 英敬（みふく ひでたか）,エンタメ兄さん、エンタメ先生,1983/1/19,,鹿児島県指宿市,A型,182cm,,明治学院大学文学部芸術学科映像専攻科卒,,スクールJCA16期,2017/1/1,,http://www.p-jinriki.com/talent/mifukuentertainment/,,295,95
三平×2,三平 太一,,1974/4/8,,青森県青森市,AB型,172cm,,日本ジャーナリスト専門学校中退,大川 豊,,2017/1/1,,http://www.wgwf.com/kousei/pages/sanpei.htm,,459,59
三本スゲユウタ,非公開,サンボン、Sanbon,1985/12/1,,福島県福島市渡利,O型,171 cm,,織田福祉専門学校,,NSC東京校13期,1982/1/1,1991/1/1,,,299,99
三又又三,三又 忠久（みまた ただひさ）,又三 ミマタ みまっちゃん,1967/5/27,,岩手県花巻市,,175cm,共通語,仙台育英高校卒業,ビートたけし コロッケ,,2017/1/1,,,,244,44
三木智洋,,,,,,,,,,,札幌吉本のオーディション,2019/1/13,,,,,82
三遊亭とむ,末高 斗夢（すえたか とむ）,,1983/12/31,,東京都新宿区,,,,,三遊亭好楽,,2008/1/1,,http://sanyutei-tom.com/,,,96
三遊亭好志朗,小松（こまつ） 貴彦（たかひこ）,,1973/10/9,,愛知県,,,,,三遊亭好楽,,2003/1/1,2021/1/1,,,,11
三遊亭小円,黒田 博毅,,1910/5/31,1975/11/30,大阪府,,,,,7代目桂文治 橘ノ圓治郎 三遊亭圓子,,2001/1/1,,,,,19
三遊亭鳳月,若月（わかつき） 徹（とおる）,,1980/1/27,,愛知県宝飯郡小坂井町,,,,,三遊亭鳳楽,,2004/1/1,,,,,10
三遊亭柳枝,山本 卯三郎,,1903/12/1,1961/5/19,大阪府,,,,,2代目三笑亭柳枝 三遊亭圓子,,2003/1/1,,,,,2
山岡竜弘,,,,,,B型,175cm,,,,,2019/1/1,,http://www.pbb.co.jp/prof_tatsuhiro_yamaoka.php,,,95
山下真治,山下真治,,1972/7/8,,東京都西東京市,O型,180cm,標準語,早稲田大学第一文学部中退,,,2019/1/14,,,,333,33
山元康輔,,,,,,,,,,,NSC大阪校29期,2017/1/1,,,,,60
山口りゅう,,,1973/11/2,,,,,,,,,2019/1/1,,,,,14
山口宇史,,,,,,,,,,,,2019/1/1,,,,482,82
山口弘和,竹田 高利,,1957/1/22,,,,,,,,,2019/1/1,,http://tom74.main.jp/yamatake.html,,166,66
山口知香,服部 知香,,1981/11/3,,福島県,A型,155cm,,東邦音楽大学大学院修士課程修了,,,2019/1/1,,,,,37
山口智充,山口 智充,ぐっさん,1969/3/14,,大阪府北河内郡四條畷町 （現・大阪府四條畷市）,O型,175 cm,大阪弁 共通語,大阪府立四條畷北高等学校 （現・大阪府立北かわち皐が丘高等学校）,,吉本興業のオーディション,2019/1/1,,,,389,89
山口冶樹,,,,,,,,,,,ワタナベコメディスクール11期,2019/1/1,,https://www.watanabepro.co.jp/mypage/4000029/,,,14
山根伸介,,,,,,,,,,,,2016/5/1,,,,53,53
山根良顕,山根 良顕,カッパ,1976/5/27,,広島県広島市安佐南区,O型,180cm,共通語 広島弁,広島修道大学法学部国際政治学科,,現事務所のオーディション,2016/5/1,,https://ameblo.jp/ungirls-y/,,258,58
山崎ケイ,,,,,,,,,,,NSC東京校13期（山﨑） NSC東京校14期（山添）,2019/1/1,,,https://www.youtube.com/channel/UC8PClLM0It8xXOnNtB1vzOg,,40
山崎まさや,山崎 方也（読み同じ）,山ちゃん,1970/1/18,,神奈川県横浜市保土ケ谷区,A型,180cm,共通語,横浜高等学校卒業,志村けん,東八郎の私塾 志村けんの付き人,2019/1/1,,,,275,75
山崎弘也,山崎 弘也,ザキヤマ、山ちゃん、ヒロちゃん、ヒロナリ,1976/1/14,,埼玉県春日部市,B型,168cm,標準語,埼玉県立春日部工業高等学校,,スクールJCA3期,2019/1/1,,,,476,76
山崎昇,,,,,,,,,,,,2019/1/1,,http://robinsons.tokyo/,,,39
山崎静代,,しずちゃん,1979/2/4,,京都府福知山市,A型,182?cm (6?ft 0?in),大阪弁,聖和大学短期大学部（現・学校法人関西学院・聖和短期大学）,,,2019/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=136,,213,13
山崎和也,,,,,,,,,,,NSC大阪校33期,2019/1/1,,,,,96
山添寛,,,,,,,,,,,NSC東京校13期（山﨑） NSC東京校14期（山添）,2019/1/17,,,https://www.youtube.com/channel/UC8PClLM0It8xXOnNtB1vzOg,,41
山田しょうこ,,,,,,,,,,,ワタナベコメディスクール17期,2020/1/1,,https://www.watanabepro.co.jp/mypage/4000070/,,,92
山田スタジアム,,,,,,,,,,,NSC大阪校15期,2020/1/1,,http://streak.jp/,,6,6
山田ルイ53世,,,,,,,,,,,NSC東京校3期（山田）,2016/1/16,,https://www.sunmusic-gp.co.jp/talent/higedanshaku/,,235,35
山田愛実,,,,,,,,,,,NSC東京校13期,2016/1/17,,https://profile.yoshimoto.co.jp/talent/detail?id=3449,,,25
山田一成 (お笑い芸人),,,,,,,,,,,,2020/1/1,,http://www.k5.dion.ne.jp/~project/itsukoko/itsukoko.html,,44,44
山田花子 (タレント),,花子、花ちゃん、花子姉さん,1975/3/10,,大阪府堺市北区,A型,150cm,泉州弁,大阪府立福泉高等学校,,,2020/1/1,,,,240,40
山田雅人,山田 雅人,,1961/1/22,,大阪府大阪市大正区,O型,174cm,大阪弁,大阪学院大学商学部,若井はやと,,2016/1/12,,,,168,68
山田健人,,,,,日本,,,,,,NSC大阪校35期,2020/1/1,,http://runnynoize.com/,https://www.youtube.com/channel/UC8K9KvifnAvsFyE9CUH426Q,,30
山田直人,,,,,,,,,,,松竹芸能タレントスクール（ひょうごは10期生、山田は11期生）,2020/1/1,,https://web.archive.org/web/20160917033136/http://www.shochikugeino.co.jp/talents/03/sunbeach.html,,,95
山田邦子,,邦ちゃん,1960/6/13,,東京都荒川区,B型,168cm,標準語,川村短期大学家政科（現：生活学科）,,,2020/1/1,,,https://www.youtube.com/channel/UCaYUegv1fnOwheSpgfiEJIg,142,42
山田亮,,,1974/1/27,,,O,174cm,,,,,2016/1/14,,,,,19
山内健司 (お笑い芸人),,,,,,,,,,,NSC大阪校26期,2019/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=636,https://www.youtube.com/channel/UCDKrhSz_tkI6ILxamZtcRYw,38,38
山内崇,,,,,,,,,,,太田プロお笑いセミナー2期生,2019/1/1,,http://www.ohtapro.co.jp/talent/SaburokuMonkeys/,,127,27
山内要,,,1972/3/25,,,,,,,,,2018/1/17,,,,,99
山本しろう,,,,,,,,,,,,2017/1/1,,https://www.sunmusic-gp.co.jp/talent/elshalakarni/,,115,15
山本栄治,,,,,,,,,,,,2017/1/1,,http://www006.upp.so-net.ne.jp/kurokin/,,343,43
山本吉貴,,,,,,,,,,,NSC大阪校15期,2017/1/1,,,,49,49
山本圭壱,山本 圭一（読みは同じ）,山さん、けいちょん,1968/2/23,,東京都,O型,168 cm,共通語 広島弁,広島県瀬戸内高等学校,,劇団東京ヴォードヴィルショー,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6195,https://www.youtube.com/channel/UC24T2Vj2uSukiOwWcpG_9fA,268,68
山本浩司 (お笑い芸人),,,,,,,,,,,東京アナウンス学院,2017/1/1,,https://www.ohtapro.co.jp/talent/timemachinesangou.html,https://www.youtube.com/channel/UCsSVOnuH739ibN24Lma-12Q,310,10
山本高広,山本高広,ものまねヤングライオン,1975/2/19,,福岡県北九州市,A型,162cm,共通語,,,,2017/1/1,,https://www.watanabepro.co.jp/mypage/40000022/,,,37
山本剛史 (お笑い芸人),,,,,,,,,,,NSC東京校14期,2017/1/1,,https://web.archive.org/web/20120504065955/http://mankintan-y.laff.jp/,,,41
山本大介 (お笑い芸人),山本 大介（やまもと だいすけ）,タコちゃん,1975/4/18,,日本徳島県鳴門市,B,174cm,阿波弁,徳島県立鳴門高等学校,,NSC大阪校18期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=376,,23,23
山本奈臣実,,,1983/3/15,,,A,,,,,,2017/1/1,,,,,81
山本博 (お笑い芸人),山本 博,博、山本くん、へ山本、ひひひろし、ボクシングマン山本、ロバ山さん、妙に出たがりのエキストラ,1978/9/5,,群馬県邑楽郡邑楽町,A型,177cm,標準語,足利工業大学附属高等学校 （現・足利大学附属高等学校）,,NSC東京校4期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=51,,154,54
山名文和,,,,,,,,,,,NSC大阪校25期（秋山） NSC大阪校26期（山名）,2016/4/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3475,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA,,90
山里速利,,,,,,,,,,,,2019/1/1,,https://www.shochikugeino.co.jp/talents/kazaanaakeruzu/,,,17
山里亮太,山里 亮太,山ちゃん、南海ちゃん、ボス,1977/4/14,,千葉県千葉市花見川区,AB型,178 cm,標準語,関西大学文学部教育学科卒業,,NSC大阪校22期,2019/1/13,,https://web.archive.org/web/20140302031834/http://nan-can-yamachan.laff.jp/blog/,,259,59
仔羊エルマー,,,1982/5/7,,大分県大分市,O型,158m,,,,,1990/1/14,,https://ameblo.jp/erumer/,,98,98
四条和也,,,,,,,,,,,オーディション,2020/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2870,,124,24
姉御ぉゆりか,非公開,,,,東京都,O型,,,日本大学文理学部,,ワタナベコメディスクール1期,1995/1/1,2003/1/1,,,130,30
市川刺身,,,,,,,,,,,NSC東京校18期,1990/1/1,1998/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6796,https://www.youtube.com/channel/UCt_ARKKz_7gG8KrdzOseB8A,,29
志真うた,,,2021/3/11,,富山県黒部市,O型,,,近畿大学,,ワタナベコメディスクール女性タレントコース1期,2010/1/1,2012/1/1,http://ip.tosp.co.jp/i.asp?i=shimautawara,,,6
志村けん,志村（しむら） 康徳（やすのり）,けんちゃんシムケンけんさんけん,1950/2/20,2020/3/29,日本 東京都東村山市,A型,169cm,共通語西関東方言・多摩弁[注 1],東京都立久留米高等学校,いかりや長介,,1993/1/1,2000/1/1,https://izawaoffice.jp/artist/shimura.php,,93,93
志茂山高也,,,,,,,,,,,,2007/1/1,2019/1/1,,,50,50
獅子てんや,,,,,,,,,,内海突破,,2010/1/1,2020/1/1,,,17,17
糸永幸一,,,,,,,,,,,,2008/1/11,2016/1/15,http://asaikikaku.co.jp/talent/profile/newcrepe,,,44
児玉智洋,児玉 智洋（こだま ともひろ）,,1979/11/14,,東京都,B型,172cm,関東方言,,,NSC東京校9期,1999/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6115,,434,34
児嶋一哉,,こじ,1972/7/16,,東京都八王子市,A型,179?cm (5?ft 10?in),標準語,東京都立日野高等学校,,スクールJCA1期,1992/1/1,2009/1/1,https://twitter.com/unjashkojima,https://www.youtube.com/channel/UCK55Bpht6fHaAybg32khEnQ,340,40
寺岡光盛,寺岡 光盛,,1975/10/18,,,,173cm,,,,,2007/1/1,,,,,49
寺田寛明,寺田 寛明（てらだ ひろあき）,,1990/10/6,,埼玉県草加市,AB型,170 ㎝,共通語,獨協大学,,,2018/1/1,,https://www.maseki.co.jp/talent/teradahiroaki,,,60
寺田奈美江,,,,,,,,,,,NSC東京校6期（浜田）,1949/1/1,1985/1/1,http://www.shochikugeino.co.jp/talents/03/post-478.html,,,30
寺門ジモン,寺門 義人（てらかど よしひと）,ネイチャージモン 肉、肉、肉！ 短足天狗 ポリバケツ,1962/11/25,,兵庫県川西市,A型,166cm,共通語,東京都立鷺宮高等学校,,テアトル・エコー養成所,2002/1/12,,https://nature-jimon.com/,https://www.youtube.com/channel/UCkzX_TCi3BbTJHjITO-L__w,185,85
宍戸ヴィシャス,宍戸 和寛,,1981/7/20,,北海道標津郡,B型,,,桜美林大学文学部英語英米文学科,,,2019/1/1,,https://ameblo.jp/pikapika-heavenskichen,,59,59
室谷信雄,,ムロ兄さん、クロ兄,1946/2/11,2018/12/5,大阪府泉佐野市,,,泉州弁,浪速高等学校卒業,白木みのる、ルーキー新一,付き人,2019/1/1,,,,55,55
篠宮暁,,,1983/2/8,,京都府京都市西京区,O型,171cm,京都弁,京都西高等学校 （現・京都外大西高等学校）卒業,,,2009/1/1,,https://yaplog.jp/shinomiya/,https://www.youtube.com/channel/UCB6xxVx-XQdZ06Nzog4tyrg,223,23
篠栗たかし,,,,,,,,,,,ワタナベコメディスクール12期,2006/1/1,,https://naturaleight.co.jp/eb/,,,68
篠原けんじ,篠原 研治,シノケン,1986/7/11,,福岡県北九州市,A型,179cm,,九州産業大学,,お笑い番長,2013/1/1,,https://www.shinoken.website/,,21,21
柴田アイスピック,,,,,,,,,,,ワタナベコメディスクール6期,1986/1/1,1990/1/1,,,240,40
柴田英嗣,柴田 英嗣,柴っさん 柴っちょ しばたん しばんちゃん 米嗣 ヒデック 柴メンコ,1975/7/15,,静岡県清水市（現・静岡市清水区）,B型,167cm,標準語　静岡弁,東海大学工業高等学校 （現・東海大学付属静岡翔洋高等学校）,,スクールJCA3期,2010/1/1,,https://ameblo.jp/yakamashii/,,499,99
柴田理恵,柴田理恵,,1959/1/14,,,B型,156cm,,,,,2011/1/1,,https://ameblo.jp/shibata-rie/,,,23
車だん吉,白沢 力（しらさわ つとむ）,だんちゃん,1943/12/6,,東京都江東区,A型,177 cm,東京方言,立正大学経済学部,,,1999/1/1,,http://asaikikaku.co.jp/talent/profile/kurumadankichi,,61,61
若井おさむ,若井 修,,1973/1/9,,京都府京都市,,174cm,共通語、京都弁,,,NSC大阪校24期,2018/1/1,,,,484,84
若井はやと,,,,,,,,,,若井はんじ・けんじ,,2018/1/1,,,,42,42
若井ぼん,,,,,,,,,,若井はんじ・けんじ,,2018/1/1,,,,43,43
若月亮,,,,,,,,,,,NSC東京校8期,2018/1/1,,,,417,17
若林正恭,若林正恭,若さん 若ちゃん 若様 じゃり林 木保さん 若林 林正 まーくん,1978/9/20,,東京都中央区,O型,169 cm,共通語,東洋大学文学部第2部国文学科卒業,,,2018/1/1,,http://blog.livedoor.jp/jarijari44/,,265,65
守谷日和,守谷崇宏,,1980/10/26,,大阪府,A型,164 cm,,日本海洋科学専門学校,,NSC大阪校26期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=4203,,437,37
手賀沼ジュン,野中 淳（のなか じゅん）,,1979/7/24,,ネパール王国（現・ネパール連邦民主共和国）生まれ  千葉県柏市育ち,B型,,共通語,早稲田大学第一文学部卒,,ギャグ大学偏差値2000（WAGEとして）,1989/1/1,,http://www.tega-juhn.com/,,343,43
狩野英孝,,英孝ちゃん,1982/2/22,,宮城県栗原郡栗駒町（現：栗原市）,A型,175cm,,,,,2017/1/12,,https://ameblo.jp/kanoaru/,https://www.youtube.com/channel/UCDn8Lqf-x0zD8hmFUg08f6w,441,41
種馬マン,,,,,,,,,,,銀座7丁目劇場,2000/1/1,2006/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=309,,492,92
酒井啓太,,,,,,,,,,,スクールJCA14期,1990/1/1,,http://www.p-jinriki.com/talent/linear/,,,67
酒井健太,,,,,,,,,,,,2016/1/1,2020/1/1,,https://www.youtube.com/channel/UCZ6J5UWwctyhNn8vNRUPl-w,205,5
酒井直斗,,なおちゃん、なおくん、なおちゅ、なおたん,1993/11/3,,愛知県,,183 cm,,愛知工業大学名電高等学校卒業,,,2010/1/13,,http://www.dokkanpro.com/talent/sakai,,,81
酒井藍,酒井 藍,藍ちゃん、ブーちゃん、巨漢モンスター,1986/9/10,,奈良県磯城郡田原本町,AB型,163 cm,関西弁,奈良県立生駒高等学校,,吉本新喜劇第3個目金の卵オーディション,2005/1/1,2007/1/1,,,227,27
酒寄希望,,,,,,,,,,,NSC東京校18期（田辺、酒寄） NSC東京校20期（きりや、あんり）,2007/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6892,https://www.youtube.com/channel/UCAwDbZG6UtUAa0s6tfgqQBA,,93
首藤将太,,,,,,,,,,,,2019/1/14,,https://www.yoshimoto.co.jp/fukuoka/talent/pc/2015/03/nora.php,,464,64
寿一実,中川 一美,,1956/5/26,,長崎県佐世保市,,,,芦屋市立芦屋高等学校,,劇団アカデミー,1996/1/1,,,,115,15
洲崎貴郁,,,,,日本,,,,,,NSC大阪校35期,2005/1/1,2013/1/1,http://runnynoize.com/,https://www.youtube.com/channel/UC8K9KvifnAvsFyE9CUH426Q,,26
秋山寛貴,,,,,,,,,,,ワタナベコメディスクール12期,2016/1/14,1985/1/1,https://www.watanabepro.co.jp/mypage/4000074/,https://www.youtube.com/channel/UCTA3AFI43NQ5Y9e9pzLZ2-Q,,70
秋山賢太,,,,,,,,,,,NSC大阪校25期（秋山） NSC大阪校26期（山名）,1999/1/1,2003/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=3475,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA,,89
秋山竜次,,,1978/8/15,,福岡県北九州市門司区,B型,175 cm,北九州弁・共通語,福岡県立門司北高等学校,,NSC東京校4期,1935/1/1,1953/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=52,,153,53
秋山良人,,,,,,,,,,,東京アナウンス学院芸能バラエティ科,1972/1/1,,https://www.maseki.co.jp/talent/akigen,,22,22
秋田久美子,中條久美子,,1975/7/31,,,B型,,,,,,1994/1/1,,,,,41
秋本智仁,,,,,,,,,,,NSC東京校5期,2004/4/1,2019/6/1,https://profile.yoshimoto.co.jp/talent/detail?id=421,,282,82
舟岡昭浩,舟岡 昭博（読み同じ）,,1975/10/14,,滋賀県八日市市（現・東近江市）,A型,166cm,関西弁,,,,2007/1/1,,,,500,100
舟生侑大,舟生 侑大（読み同じ）,,1986/9/26,,高知県四万十市,A型,173cm,幡多弁,,,NSC東京校16期,2010/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=3559,,,44
住田隆,住田 隆,,1966/1/7,,東京都三鷹市,A型,170cm,,,,,2012/1/1,,http://www.p-jinriki.com/talent/sumitatakashi/,,,61
重岡謙作,,,,,,,,,,,NSC東京校5期,2005/1/1,2017/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=531,,321,21
重政豊,重政 豊（しげまさ ゆたか）,,1981/8/27,,大阪府,,170cm,,,,,1998/1/1,2007/1/1,,,,32
重谷ほたる,,,1995/4/5,,,O,153,,,,,2005/1/1,2019/1/1,,,,91
夙川アトム,田中 博之 （たなか ひろゆき）,,1979/12/22,,兵庫県西宮市,AB型,172cm,,報徳学園高等学校,,,2005/1/1,,http://www.ash-d.info/syukugawa.html,,239,39
出井準之介,,,,,,,,,,,NSC大阪校28期（楢原） NSC大阪校29期（出井）,2005/6/1,2011/1/1,http://www.kdashstage.jp/profile/archives/4,,,39
出雲阿国 (お笑い芸人),恩田 真希（おんだ まき）,,1982/9/13,,島根県松江市,,,,,,,2004/1/1,,,,,75
出川哲朗,出川（でがわ） 哲朗（てつろう）,てっちゃん キレたナイフ ヨシダマセキ Ｄ川（でぃ-がわ）さん ポストタモリトレンディー男 くそ哲,1964/2/13,,横浜市神奈川区,B型,159cm,共通語,横浜放送映画専門学院演劇科,,,2005/1/1,2011/1/1,https://www.maseki.co.jp/talent/degawatetsuro,,188,88
春やすこ,,,1961/6/15,,大阪府,A型,,,,,,2014/1/16,,,,,36
春一番 (お笑い芸人),春花 直樹（はるはな なおき）,,1966/8/13,2014/7/3,神奈川県,A型,175cm,共通語,,片岡鶴太郎,,1999/1/1,,http://www.haru1ban.jp/,,242,42
春田和幸,,,1982/8/28,,鹿児島県,,164cm,,,,,2017/1/1,1979/1/1,https://www.shochikugeino.co.jp/talents/harutakazuyuki,,,72
春日三球,,,,,,,,,,リーガル千太・万吉（三球） 春日目玉・玉吉（照代）,,2011/1/14,,,,25,25
春日俊彰,春日 俊彰,カスミン ダディガ モアイ,1979/2/9,,埼玉県所沢市,B型,176 cm,埼玉弁、 春日語、共通語,日本大学商学部経営学科卒業,,,2004/1/1,,https://plaza.rakuten.co.jp/tonyboyjr/,,268,68
春日照代,,,,,,,,,,リーガル千太・万吉（三球） 春日目玉・玉吉（照代）,,1994/1/1,2013/1/1,,,26,26
初澤希望,,,,,,,,,,,松竹芸能タレントスクール,2017/1/1,,https://www.shochikugeino.co.jp/talents/hatsuzawachinako/,,,25
渚 (お笑い芸人),,,,,,,,,,,,2020/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2879,,242,42
緒方雅史 (お笑い芸人),緒方 雅史（おがた まさし）,甘王（別名義） オキャディー（旧芸名）,1974/3/1,,大阪府和泉市,A型,173cm,大阪弁,,,,2005/1/1,2011/1/1,https://www.shochikugeino.co.jp/talents/okyadhi,,408,8
諸岡立身,,,1973/11/12,,,B型,173cm[疑問点 ? ノート],,,,,2017/1/1,,,,,16
諸見里大介,諸見里 大介,,1982/7/21,,沖縄県島尻郡八重瀬町（旧具志頭村）,B型,187cm,関西弁,琉球大学中退,,NSC大阪校27期,2017/1/1,,https://web.archive.org/web/20110221055715/http://moromi.laff.jp/,,14,14
勝俣州和,勝俣 州和,かっちゃん,1965/3/12,,宮城県仙台市 （静岡県御殿場市育ち）,O型,171cm,共通語、伊豆方言,日本大学文理学部国文学科中退,萩本欽一,劇男一世風靡,2003/1/16,,,https://www.youtube.com/channel/UCXk0HDvGpObDrE_J_bO03-Q,210,10
小浦一優,小浦 一優,,1967/12/18,,福岡県北九州市門司区,A型,166cm,,,,,2018/1/1,,https://enishing.com/,,228,28
小笠原まさや,小笠原 祐哉,,1975/11/25,,北海道寿都郡寿都町,A型,,,,,NSC大阪校24期,2014/1/1,,,,83,83
小宮孝泰,,,1956/3/11,,,,,,,,,2010/1/1,2013/1/1,,,,8
